ffplay,ALL_TASKS,percentage
1394.98,1569.56,88.87713754173144
152.51,1808.8,8.43155683325962
870.11,4199.49,20.719420691560167
871.7,2826.5,30.84026180788962
2529.14,7816.39,32.35688086188125
0.53,2988.54,0.017734412120968768
0.42,645.53,0.06506281660031292
0.25,444.45,0.05624929688378895
0.24,902.11,0.026604294376517276
0.3,1240.94,0.024175222009122116
128.22,3599.74,3.561923916727319
1178.92,6752.38,17.459325452655214
266.82,5688.06,4.690878788198436
208.75,3395.92,6.147082381210393
182.34,4531.97,4.023415865506612
114.35,814.05,14.047048707081874
76.59,500.11,15.31463078122813
66.53,404.54,16.445839719187223
141.56,896.98,15.781845749069099
57.3,664.02,8.629258154874853
48.67,369.08,13.186842960875692
72.52,384.48,18.861839367457343
86.46,326.49,26.48166865753928
51.71,1126.09,4.591995311209584
82.8,479.8,17.257190496040014
58.49,421.76,13.868076631259484
104.12,395.22,26.344820606244625
58.48,358.35,16.319240965536487
52.03,1226.8,4.241115096185197
67.05,703.6,9.529562251279135
83.09,490.87,16.927088638539736
94.07,403.79,23.296763168973968
41.95,319.87,13.114702848032014
51.36,1813.94,2.8314056694267724
186.22,3222.89,5.778043929516676
153.53,2298.7,6.678992474007048
72.94,943.53,7.730543808887899
93.77,456.63,20.535225456058516
64.94,871.15,7.454514147965333
98.5,443.61,22.204188363652758
67.3,365.68,18.404069131481073
48.46,306.92,15.789130718102436
42.73,314.55,13.584485773326973
104.52,905.77,11.539353257449463
53.51,402.27,13.302011087080817
46.7,342.12,13.650181222962704
41.42,322.0,12.86335403726708
111.09,358.52,30.985719067276584
41.35,843.56,4.9018445635165255
55.21,413.97,13.336715220909728
111.84,470.16,23.78764675855028
36.26,459.23,7.895825621148443
39.63,344.0,11.520348837209303
71.76,1361.68,5.269960636860349
196.02,4020.48,4.875537249283668
121.77,3985.79,3.0551032543109398
176.63,4615.26,3.8270866646732795
133.86,657.58,20.356458529760637
82.5,938.82,8.787627021154213
161.04,581.27,27.704853166342662
57.53,390.21,14.743343327951616
46.37,316.83,14.635609001672822
46.09,318.81,14.456886546846084
126.58,953.33,13.277668803037773
51.51,434.95,11.842740544890216
46.22,360.43,12.823571844741002
71.11,335.81,21.175664810458294
86.75,458.6,18.916266899258613
45.89,634.88,7.228137600806452
68.28,357.28,19.111061352440665
93.08,448.77,20.741136885264165
39.39,287.74,13.689441857232223
75.07,672.82,11.157516126155583
67.05,2518.9,2.6618762158084874
229.18,5699.15,4.021301422141899
174.86,2302.42,7.5946178368846695
93.3,660.15,14.13315155646444
76.29,834.3,9.144192736425747
62.27,520.55,11.962347517049277
131.49,445.41,29.52111537684381
43.5,340.91,12.75996597342407
43.18,311.13,13.878443094526405
67.59,706.3,9.569587993770353
86.45,369.36,23.405349794238685
35.64,335.09,10.635948551135517
63.53,303.13,20.9580048164154
77.12,351.3,21.952746939937377
35.45,637.6,5.559912170639899
63.78,351.88,18.12549732863476
48.4,281.78,17.176520689899924
65.87,392.65,16.775754488730424
88.55,1717.36,5.156169935249453
85.93,1418.59,6.057423216010265
64.95,417.29,15.56471518608162
132.05,456.5,28.926615553121582
53.25,636.35,8.368036457924099
46.98,426.98,11.002857276687433
46.32,315.28,14.691702613549861
97.02,357.41,27.145295319101308
37.38,299.45,12.48288528969778
37.55,624.27,6.015025549842216
109.69,402.78,27.233229058046575
37.42,330.12,11.335272022294923
40.04,336.9,11.884832294449392
65.76,475.88,13.818609733546271
81.24,588.77,13.79825738403791
39.06,303.46,12.871548144730774
64.9,369.49,17.564751414111342
78.61,377.81,20.806754717979935
38.35,512.68,7.480299602090974
65.96,344.95,19.12161182780113
81.41,402.63,20.21955641656111
59.8,362.36,16.502925267689587
58.7,500.77,11.721948199772351
83.03,402.01,20.653715081714385
42.45,456.12,9.306761378584584
66.84,437.55,15.275968460747343
49.9,923.61,5.402713266421975
86.11,915.32,9.407638858541274
66.08,427.11,15.47142422326801
48.53,391.57,12.39369716781163
47.24,648.2,7.287874112928108
107.12,386.53,27.7132434739865
48.76,363.14,13.427328303133779
42.28,292.82,14.438904446417594
97.49,553.16,17.624195531130233
42.36,372.6,11.368760064412237
37.11,303.31,12.235007088457353
59.86,382.63,15.644356166531637
80.91,530.27,15.258264657627246
36.79,371.53,9.902295911501092
42.45,306.81,13.835924513542583
106.63,403.07,26.45446200411839
38.84,490.46,7.919096358520574
42.59,377.27,11.288997269859784
101.78,404.61,25.15508761523442
39.33,415.04,9.476195065535851
44.83,454.66,9.860115250956758
112.06,419.21,26.731232556475277
53.37,689.16,7.744210343026293
45.56,501.18,9.090546310706731
81.62,553.93,14.734713772498331
90.79,384.75,23.597141000649774
59.51,318.17,18.703837571109784
51.17,298.53,17.140655880481027
79.98,536.03,14.9208066712684
35.75,296.62,12.052457689973703
53.95,367.81,14.667899187080286
76.92,358.42,21.460855979019026
34.47,527.7,6.532120523024446
52.79,581.66,9.075748719183029
66.52,380.74,17.471240216420654
51.19,427.28,11.980434375585098
50.03,1356.84,3.687243890215501
95.98,1831.3,5.241085567629553
38.35,419.64,9.138785625774474
14.7,308.81,4.7602085424694796
15.05,662.15,2.2728988899796123
22.3,1461.74,1.5255791043550837
21.76,400.93,5.427381338388248
30.67,372.66,8.230022003971449
13.07,278.7,4.6896304269824185
15.83,869.67,1.8202306622052042
16.66,1457.76,1.142849303040281
41.56,1536.36,2.7050951599885447
