ffplay,ALL_TASKS,percentage
1020.32,7998.57,12.756280185083085
1313.74,8491.51,15.47121772217191
980.45,8728.4,11.232872004032814
850.21,9747.4,8.722428545047912
667.3,11079.76,6.022693632353047
0.28,6585.28,0.004251907284124594
0.26,7116.76,0.0036533478717843512
408.29,8622.84,4.734982905863962
578.99,11635.64,4.9760047577958755
8.27,6981.83,0.11845032033148903
8.26,9751.89,0.08470152965220076
8.73,7435.11,0.11741588221290608
52.2,7908.4,0.6600576602093977
159.61,7157.48,2.229974795598451
8.74,8755.42,0.09982388052200808
8.34,8950.53,0.09317883968882289
8.62,6759.33,0.12752743245262474
8.22,7120.02,0.11544911390698341
7.97,8425.07,0.09459862054558597
11.46,7526.26,0.152266862957166
8.89,7413.58,0.11991507476819567
7.65,6805.93,0.11240197886255075
7.58,8421.7,0.09000558082097437
8.19,7436.06,0.1101389714445553
7.98,7997.03,0.09978704594080554
66.18,6801.68,0.9729949071405888
7.51,8874.85,0.08462114852645396
381.15,7641.45,4.987927683881986
8.36,7686.15,0.10876706803796439
7.54,6885.09,0.1095120034741739
44.71,8708.89,0.5133834507038211
9.08,8477.32,0.10710932228581674
7.44,7760.14,0.0958745589641424
7.8,6852.24,0.11383138944345207
8.3,8638.96,0.09607637956420682
10.5,7810.72,0.13443062867443717
7.26,8502.56,0.08538604843717656
7.84,8560.66,0.09158172383904979
6.2,8486.19,0.07305987728297386
62.28,7359.02,0.8463083399691808
8.34,7649.06,0.10903300536275044
8.48,7629.76,0.11114373191293042
8.24,7810.17,0.10550346535350703
7.75,7714.27,0.10046316761015622
22.67,8475.97,0.2674620131973096
8.46,7567.03,0.1118007989924713
7.98,8326.43,0.095839393353454
7.76,7171.91,0.10819990769543956
22.04,8301.12,0.26550634131297945
7.03,7317.8,0.0960671239990161
8.59,9301.35,0.09235218543544754
20.0,7801.33,0.2563665426279878
7.75,7424.43,0.10438511778008547
8.83,7950.13,0.11106736619401192
15.87,8511.27,0.18645866010595363
7.53,6396.0,0.11772983114446528
8.05,6372.02,0.1263335645525281
22.81,7055.86,0.3232773892906038
18.8,6962.69,0.2700105849894222
40.79,8234.43,0.49535912018196765
7.69,7460.43,0.10307716847420324
20.63,6711.41,0.3073869723351725
7.98,8055.27,0.09906558066954925
17.08,7003.29,0.24388537387427908
8.17,7556.64,0.1081168349954477
27.48,6607.93,0.4158639695033089
22.95,7407.68,0.30981359885956194
166.8,8099.17,2.05947029140023
6.39,7901.02,0.0808756337789298
370.03,7475.91,4.949631549871521
43.88,7217.7,0.607949900937972
7.75,9738.4,0.07958186149675511
11.41,7103.22,0.16063137562964402
7.97,6681.31,0.11928798394326859
50.51,7211.46,0.7004129538262709
7.91,8509.8,0.09295165573809021
19.01,7704.71,0.2467321936841231
18.82,7248.65,0.2596345526408366
24.07,7704.15,0.31242901553059066
19.41,8714.18,0.22274040701477363
16.62,8265.51,0.20107652159394884
20.17,6432.51,0.31356344568449956
28.1,6969.28,0.4031980348041692
20.88,8767.3,0.23815769963386677
18.85,8272.89,0.22785266092018633
17.94,7057.62,0.25419333996446397
19.92,7170.87,0.2777905609779567
30.53,8222.37,0.3713041373715851
18.29,8143.39,0.22459933762229242
18.79,7803.89,0.2407773559083995
27.41,7478.22,0.3665310729023752
28.07,8381.89,0.33488867069360256
25.9,7138.08,0.3628426691771457
18.12,7490.12,0.2419186875510673
1311.89,8812.18,14.887235621605551
1206.81,11393.77,10.591840979763502
2745.98,11080.48,24.782139401903166
859.89,8677.23,9.909729256917242
32.08,8313.48,0.3858793188893219
31.01,8734.37,0.3550341925061567
19.7,7632.91,0.25809291607001783
31.23,7469.19,0.4181176272125894
2346.41,9903.07,23.69376365106982
625.11,9217.0,6.7821416946945865
961.36,8536.91,11.261217466272926
68.91,7670.15,0.8984178927400378
1078.9,9084.2,11.876664978754322
317.6,8518.5,3.7283559312085464
33.53,8355.39,0.40129784486421344
1257.68,8768.76,14.342734890680099
749.88,9049.46,8.286461291612982
519.22,8962.85,5.79302342446878
1107.11,8472.91,13.066467128766856
71.81,7478.52,0.9602167273738653
1763.35,9253.23,19.056588888420585
433.28,8773.0,4.938789467684942
691.67,7831.5,8.831896826916937
803.82,7546.49,10.651574440567735
896.35,7756.42,11.55623341696298
325.67,7836.43,4.155846476010122
292.74,8788.39,3.3309855388757215
973.77,8690.99,11.204362218803611
290.75,7201.26,4.037487884064733
915.62,8164.37,11.21482735348839
442.46,8192.18,5.401004372462519
471.64,7873.77,5.990014948366538
175.14,7110.21,2.4632183859548453
107.99,7098.01,1.521412339514878
43.33,9319.15,0.4649565679273325
38.77,7904.45,0.4904832088254085
7.06,6427.04,0.10984839054992655
1046.18,7472.13,14.001094734700818
2739.81,11566.75,23.68694750037824
965.75,8976.36,10.758815377279877
77.2,7373.65,1.046971310002509
566.24,7463.52,7.586768709670504
992.57,9531.1,10.414013072992624
746.74,8527.96,8.756373153720235
915.34,7902.71,11.582609003746816
334.21,8033.07,4.160426835568469
697.58,9014.64,7.738301252185336
636.69,8371.13,7.605783209674204
594.66,8000.87,7.432441721962737
322.25,7260.6,4.438338429330909
1067.61,9831.75,10.85879929819208
324.21,8417.93,3.8514219053852905
378.42,8735.26,4.332097728058466
682.15,8899.37,7.665149330795325
459.78,9654.57,4.762304276627545
577.06,7559.34,7.633735220270552
641.85,8697.93,7.37934198136798
494.48,8267.17,5.9812487223560185
486.25,8918.46,5.452174478553473
603.99,8244.45,7.326019322089405
427.14,9637.97,4.431846125273268
472.31,8886.26,5.315059428826075
626.4,8406.0,7.451820128479657
318.58,8342.17,3.818910427382803
964.47,9579.75,10.067799264072654
301.8,8448.38,3.5722824967626936
563.59,9363.33,6.019119266329394
346.13,8060.41,4.294198434074693
79.76,7899.44,1.0096918262560384
95.74,7861.68,1.2178058633778022
104.9,9046.45,1.1595708813954644
81.08,8547.42,0.9485903348612797
4238.29,11757.76,36.046746999428464
609.91,9242.01,6.599322008956926
573.01,8339.54,6.871002477354865
627.66,8635.36,7.268486779937374
701.48,8465.9,8.285947152694929
314.0,8432.72,3.723590964718383
812.45,8702.94,9.335351042291455
314.21,8252.06,3.807655300615846
325.31,8135.27,3.998760950773607
962.31,8736.61,11.01468418528468
324.43,7927.83,4.092292594568754
634.79,8731.93,7.269755941699028
572.27,6953.29,8.230204694468373
655.26,7334.8,8.93357692097944
484.04,7671.81,6.309332478254806
747.0,8205.27,9.103905173138727
290.94,8779.89,3.3137089416837795
461.2,6667.16,6.917488105880166
685.48,8019.96,8.547174798876803
348.58,8645.22,4.032054707688179
801.56,7720.43,10.38232326437776
335.08,7970.22,4.204149948182107
516.13,8046.32,6.4144851310909825
597.77,8938.82,6.687347994478018
471.03,8265.65,5.698644389733415
332.22,7490.4,4.435277154758091
756.14,6680.86,11.31800396954883
286.33,8427.9,3.397406234055933
