ffplay,ALL_TASKS,percentage
2705.15,9506.52,28.455733538666095
1015.07,9488.35,10.698066576380509
750.2,11926.49,6.290199379700147
2055.11,12433.75,16.52848094902986
1790.82,13026.4,13.747620217404656
5.84,8572.74,0.06812291052802255
4.97,7407.95,0.06709008565122604
8.52,7842.84,0.10863411723304311
9.26,7535.55,0.12288419557961927
1173.77,13284.52,8.835622212921505
1140.16,10608.6,10.747506739814867
248.72,9283.93,2.679037864352704
208.07,9163.3,2.270688507415451
164.99,8005.73,2.060898881176358
343.67,7944.25,4.3260219655725844
87.85,7718.08,1.138236452589245
83.41,8250.74,1.0109396248094111
282.07,8664.99,3.255283618330777
198.89,8342.24,2.384131839889526
175.42,8942.73,1.961593383675902
364.08,9200.23,3.9572923720385256
178.72,7410.96,2.4115634141865563
198.75,7700.7,2.580934200786942
208.39,8286.47,2.514822354995553
188.32,7504.21,2.5095246534945046
215.28,8874.34,2.425870543612257
380.85,8785.48,4.334993648611118
89.31,9621.87,0.9281979490473266
177.16,8177.85,2.1663395635772233
318.31,7713.13,4.126859005358395
158.22,7650.06,2.068219072791586
272.28,8529.08,3.19237244814212
171.78,7643.29,2.247461498909501
198.0,8634.16,2.293216711295598
361.2,9566.91,3.7755137238669536
323.76,8423.74,3.843423467485939
108.69,8413.22,1.2918953741849137
96.14,7722.25,1.2449739389426657
251.12,8314.84,3.0201422997916976
188.64,8031.76,2.348675757243742
303.96,7914.06,3.840759357396835
177.87,8503.9,2.0916285469020095
108.42,8378.09,1.294089703023004
214.44,8503.39,2.52181776914854
296.73,8002.02,3.708188682357705
91.02,7478.31,1.2171199107819815
280.35,7511.15,3.732451089380455
166.45,7433.25,2.23926277200417
345.49,7711.01,4.4804766172006
105.32,7545.62,1.3957766227294774
357.48,8952.18,3.9932172945584203
239.91,9765.1,2.4568104781313043
309.63,7997.91,3.871386399696921
169.56,7354.27,2.305599332088705
255.06,7482.88,3.4085806534382486
110.79,7170.15,1.545155959080354
145.85,8258.49,1.766061350198402
305.11,8550.97,3.568133205940379
101.81,8261.16,1.2323935137438327
252.57,8175.32,3.089420352964777
281.43,7452.05,3.776544709173986
117.71,7789.42,1.511152306590221
168.92,7565.15,2.2328704652254086
213.35,8222.04,2.59485480489027
262.48,8069.87,3.2525926687790516
311.4,8282.33,3.7598115506143803
264.89,8436.6,3.139771946044615
107.4,7870.39,1.3646083612120874
471.18,7269.43,6.481663624245643
107.47,7208.41,1.4908974378538402
104.49,10385.4,1.0061239817436016
439.6,8791.74,5.000147866065193
68.78,7848.61,0.8763335163806075
251.63,8126.66,3.0963520068515233
174.17,7921.55,2.1986858632464603
111.42,7386.22,1.5084847188413018
169.99,8039.57,2.1144165670552035
353.99,7162.32,4.94239296764177
119.93,7200.58,1.665560274311236
177.5,7372.93,2.4074553806966836
157.24,8069.67,1.9485307329791677
163.68,8328.37,1.9653305508761014
183.15,8002.63,2.2886226153152154
160.32,7301.46,2.195725238513941
227.57,7297.06,3.1186532658358295
1251.13,7653.84,16.34643525341528
203.82,7064.1,2.885293243300633
169.25,7694.58,2.199600238089668
335.6,7819.21,4.291993692457422
92.1,7315.86,1.2589087270669477
314.1,8424.01,3.7286280524358353
230.82,7026.65,3.2849224025673687
79.58,6654.01,1.1959705500893445
231.48,7087.18,3.266179213735223
260.31,7455.81,3.4913711588680507
91.98,6841.62,1.3444184272146071
225.5,7207.28,3.128780899312917
262.68,7581.12,3.4649233886285935
95.96,6558.73,1.4630881283419197
164.35,6837.16,2.4037758367509316
246.19,6816.5,3.611677547128292
84.22,6300.23,1.3367765938703826
231.19,7408.33,3.120676319764373
272.83,7177.77,3.801041270478157
92.51,6933.33,1.334279487634369
321.26,6805.74,4.720427168831017
103.29,7268.51,1.421061538059382
428.37,7298.56,5.869239959663275
180.4,7066.01,2.5530674312660184
261.68,7407.44,3.532664456276393
118.35,7384.08,1.6027724510026975
160.87,6639.29,2.42300004970411
291.24,6641.71,4.3850153047934946
94.24,7000.22,1.3462434037787383
159.22,6631.51,2.400961470313699
295.99,6732.91,4.396167481816926
86.18,6688.25,1.2885283893395134
152.73,5295.51,2.884141470793181
254.77,5080.95,5.014219781733732
89.02,5408.36,1.6459703126271181
338.58,5220.69,6.48534963769157
89.66,5040.21,1.778894133379363
81.64,5052.57,1.615811359367609
361.28,7801.86,4.630690630183059
92.09,5492.35,1.676695767749688
79.65,4973.99,1.6013301192804974
226.79,5003.3,4.532808346491316
242.71,5065.09,4.7918200861189035
82.73,5000.38,1.6544742599562432
247.68,5955.7,4.158705106032876
193.64,5118.78,3.782932651920966
86.01,5062.1,1.699097212619269
285.05,5253.28,5.426133767855512
74.39,838.03,8.876770521341719
165.1,741.81,22.25637292568178
235.58,629.88,37.40077475074617
104.6,495.77,21.0984932529197
241.48,732.56,32.963852790215135
53.81,365.54,14.72068720249494
53.94,415.61,12.978513510262024
165.52,531.86,31.12097168427782
99.42,464.75,21.39214631522324
51.7,413.72,12.496374359470174
122.7,491.03,24.98828992118608
48.78,475.01,10.269257489316015
242.24,658.25,36.8006076718572
179.76,461.79,38.926784902228285
73.53,478.87,15.354897989015809
199.44,650.25,30.67128027681661
82.72,1023.29,8.083729929931886
73.91,667.15,11.0784681106198
180.69,652.42,27.69534962140952
86.79,563.48,15.402498757719885
82.96,412.04,20.133967575963496
172.74,562.44,30.7126093449968
81.56,458.61,17.784173916835655
139.44,504.85,27.620085173814
103.34,472.02,21.893140121181307
82.1,452.01,18.163314970907724
141.8,525.44,26.986906211936663
115.78,478.53,24.194930307399748
81.02,442.08,18.326999638074557
139.1,823.88,16.883526727193278
96.75,562.97,17.18564044265236
146.12,552.61,26.441794393876332
72.0,492.39,14.622555291537195
106.12,849.27,12.4954372578803
153.36,1048.86,14.621589153938563
80.39,1118.8,7.185377189846265
126.71,796.01,15.918141731887788
156.89,488.82,32.09565893375885
73.12,489.47,14.93860706478436
128.35,505.56,25.387688899438242
148.06,546.3,27.102324730001833
72.19,450.03,16.041152812034753
153.61,629.15,24.41548120480013
133.82,401.45,33.3341636567443
78.7,450.46,17.47102961417218
207.74,564.86,36.7772545409482
77.62,450.26,17.238928619020122
76.8,458.29,16.75794802417683
212.35,582.08,36.48123969213854
81.71,450.36,18.14326316724398
74.07,423.36,17.495748299319725
191.8,557.28,34.417169107091595
69.96,424.21,16.491831875721928
184.24,634.99,29.014630151655936
76.28,1193.76,6.389894116070232
71.21,467.48,15.232737229400186
175.46,588.41,29.81934365493449
84.54,440.75,19.18094157685763
99.93,568.22,17.586498187321812
152.9,411.7,37.13869322322079
82.55,448.2,18.418116912092817
140.63,513.78,27.37163766592705
122.03,507.7,24.035847941697856
75.85,453.09,16.740603412125626
128.02,504.22,25.38971084050613
96.81,485.14,19.95506451745888
79.91,449.95,17.759751083453718
133.11,510.38,26.080567420353468
100.7,473.16,21.282441457435116
138.32,501.77,27.56641489128485
65.81,427.22,15.404241374467487
115.42,475.59,24.268802960533232
158.23,1027.28,15.402811307530564
77.69,1204.22,6.4514789656375084
121.8,536.8,22.69001490312966
147.64,668.03,22.100803856114247
76.07,754.28,10.085114281168796
219.94,917.77,23.964609869575167
80.17,554.94,14.44660684037914
85.98,481.21,17.86745911348476
206.02,625.61,32.93105928613673
81.54,449.76,18.129669156883672
79.46,455.12,17.459131657584813
183.78,566.06,32.46652298342932
73.68,441.62,16.68402699153118
74.54,432.86,17.220348380538745
178.51,548.13,32.56709174830788
72.36,437.29,16.547371309657205
153.52,507.13,30.272316762960187
75.12,435.87,17.234496524192995
71.98,636.65,11.306055132333308
160.47,519.51,30.88872206502281
84.72,1071.23,7.908665739383699
71.95,506.54,14.204208946973583
176.31,530.24,33.25098068799034
78.24,452.68,17.283732437925245
129.71,491.58,26.386346067781442
96.48,461.71,20.896233566524444
79.18,431.75,18.339316734221196
129.71,492.14,26.35632137196733
95.61,452.81,21.114816368896445
76.9,441.6,17.41394927536232
124.35,532.33,23.35957019142261
107.01,479.02,22.339359525698303
101.82,491.87,20.700591619736922
114.82,480.55,23.893455415669543
104.5,480.67,21.740487236565624
152.92,530.04,28.850652780922193
77.24,535.38,14.427135866113789
108.49,642.75,16.87903539478802
143.08,544.99,26.253692728306945
74.19,612.68,12.109094470196515
111.64,1001.24,11.150173784507212
142.12,525.4,27.049866768176628
70.44,436.07,16.153369871809574
183.32,766.86,23.905276060819443
71.7,469.04,15.286542725567115
75.43,456.07,16.5391277654746
189.55,552.41,34.31328180156044
75.47,815.0,9.260122699386503
90.97,839.61,10.834792344064507
207.69,669.95,31.000820956787816
77.33,491.57,15.731228512724535
76.29,443.27,17.210729352313493
180.84,540.66,33.44800799023416
74.71,483.38,15.455749100086887
176.42,554.0,31.844765342960287
82.53,739.09,11.166434399058302
79.51,449.61,17.68421520873646
165.76,599.92,27.63035071342846
85.68,469.22,18.26009121520822
81.61,1128.37,7.232556696828168
182.92,559.1,32.71686639241638
85.16,453.61,18.773836555631487
128.02,481.33,26.597137099287394
102.75,460.52,22.311734560931125
80.03,451.73,17.716334978859052
139.6,495.18,28.191768649783917
104.44,482.04,21.66625176333914
75.82,441.69,17.165885575856368
130.23,501.44,25.97120293554563
99.25,475.11,20.88989918124224
145.72,502.92,28.974787242503773
75.65,441.93,17.11809562600412
95.61,465.04,20.559521761568895
143.88,754.92,19.058973136226356
73.74,451.79,16.32174240244361
105.81,493.5,21.440729483282674
148.63,569.23,26.110710960420214
77.99,460.95,16.91940557544202
99.17,1108.78,8.94406464763073
151.35,536.29,28.221671110779617
77.68,435.52,17.836149889786924
174.58,530.3,32.92098811993212
77.08,501.51,15.369583856752609
78.85,393.65,20.03048393242728
164.9,532.5,30.967136150234744
74.88,440.11,17.01392833609779
77.71,649.77,11.959616479677424
159.95,570.8,28.02207428170988
524.71,910.49,57.62940834056387
127.12,577.73,22.003357969985977
48.9,919.49,5.3181655047906995
97.05,1136.44,8.539826123684488
228.31,717.73,31.810012121549885
