ffplay,ALL_TASKS,percentage
1220.65,761.03,160.39446539558233
1620.51,2517.94,64.35856295225462
745.0,3315.03,22.47340144734738
2543.88,5281.39,48.16686516239096
0.47,775.53,0.060603716168297815
0.68,865.36,0.07858001294259037
0.41,453.48,0.09041192555349739
0.33,452.66,0.07290239915168117
0.39,484.51,0.08049369466058492
914.56,7131.55,12.8241406145929
233.38,2331.02,10.01192610960009
155.47,743.03,20.92378504232669
111.71,1165.91,9.581357051573448
131.75,539.82,24.406283576006814
64.3,468.69,13.71908937677356
103.01,508.62,20.252841020801384
129.3,520.44,24.844362462531702
60.54,440.17,13.753776949814844
97.18,458.55,21.1928906335187
117.12,500.66,23.39312108017417
58.54,424.65,13.78547038737784
94.75,503.64,18.81304106107537
113.59,536.13,21.18702553485162
55.58,344.56,16.1307174367309
154.69,690.78,22.39352615883494
61.44,611.73,10.043646706880486
58.37,556.14,10.495558672276765
167.13,619.01,26.999563819647506
65.78,722.15,9.108910891089108
63.88,508.24,12.568865103100899
165.8,596.76,27.783363496212885
58.21,894.73,6.505873280207437
82.96,855.1,9.701789264413518
136.9,422.38,32.41157251763815
60.56,440.31,13.753946083441212
150.97,523.87,28.818218260255406
69.72,451.24,15.450757911532664
61.27,435.29,14.075673688805166
142.39,493.62,28.846075928852148
68.87,479.42,14.36527470693755
59.19,363.69,16.274849459704694
160.93,523.88,30.718866916087656
71.1,445.69,15.952792299580423
115.26,630.71,18.27464286280541
90.52,460.35,19.66329966329966
68.75,451.91,15.213206169370006
109.44,534.08,20.491312162971838
98.44,679.17,14.494161991842985
72.44,420.44,17.22956902292836
120.05,559.68,21.449757004002286
98.94,575.22,17.200375508501097
136.59,1047.09,13.044723949230727
66.16,445.53,14.849729535609274
103.11,474.43,21.73344855932382
129.81,503.97,25.75748556461694
67.35,430.1,15.659149035108113
102.93,450.46,22.849975580517697
130.25,486.69,26.762415500626684
65.53,425.46,15.402152963850893
130.39,591.95,22.027198243094855
106.58,382.27,27.880817223428465
64.63,431.25,14.986666666666665
177.69,545.94,32.54753269590064
64.23,437.63,14.676781756278135
62.86,462.05,13.604588248025104
166.53,784.58,21.225368987228833
64.97,455.78,14.254684277502305
63.38,478.66,13.241131492082062
157.85,571.16,27.636739267455706
62.86,407.1,15.440923605993612
156.28,1210.15,12.914101557658142
68.52,442.55,15.482996271607727
62.52,421.63,14.82816687617105
145.8,507.27,28.74209001123662
67.22,436.32,15.406123945727906
56.69,410.33,13.815709307143031
141.12,500.58,28.191298094210715
67.5,435.85,15.486979465412412
57.7,434.24,13.287582903463523
141.78,508.8,27.86556603773585
70.88,444.08,15.961088092235634
81.59,560.21,14.564181289159423
110.68,373.8,29.60941680042804
68.09,627.62,10.848921321818935
115.28,478.99,24.06730829453642
121.2,495.14,24.47792543523044
71.96,760.62,9.460703110620283
133.28,3381.29,3.941690893120673
93.85,633.35,14.818031104444618
96.85,1334.26,7.258705199886078
92.0,483.66,19.021626762601826
100.15,630.84,15.87565785302137
137.3,2000.17,6.86441652459541
67.24,2320.82,2.8972518334037103
113.52,541.02,20.982588444050126
135.8,879.51,15.440415686006984
65.11,481.36,13.5262589330231
110.91,506.94,21.878328796307255
129.52,513.92,25.202366127023666
61.43,440.6,13.942351339083068
167.55,548.53,30.545275554664286
61.99,521.61,11.884358045282873
62.4,544.08,11.468901632112924
161.4,543.3,29.7073440088349
64.04,472.81,13.544552780186544
61.09,429.68,14.217557251908397
160.29,524.83,30.541318141112356
62.15,413.23,15.040050335164434
147.18,1005.79,14.633273347319022
65.28,617.53,10.57114634106845
62.39,431.36,14.463557121661722
145.22,525.59,27.62990163435377
68.96,438.28,15.734233823126766
61.98,435.2,14.241727941176471
146.23,624.92,23.399795173782245
70.39,360.69,19.515373312262607
110.36,465.46,23.709878399862504
101.26,472.38,21.436131927685338
70.59,447.37,15.77888548628652
113.39,545.18,20.7986353131076
103.12,665.33,15.499075646671576
72.01,457.36,15.744708763337414
123.57,506.5,24.396841066140176
103.84,507.06,20.47883879619769
143.08,569.97,25.103075600470206
63.42,388.42,16.327686524895732
102.86,478.65,21.489606184059333
133.78,633.4,21.12093463845911
65.23,919.37,7.095075975940047
126.24,498.57,25.32041639087791
137.06,514.71,26.62858697130423
65.05,456.22,14.258471789925911
89.04,462.76,19.241075287406
116.8,480.91,24.287288681873946
57.84,425.98,13.578102258321985
152.9,519.72,29.41968752405141
57.82,428.02,13.50871454604925
55.32,429.74,12.872899892958534
135.97,664.14,20.473093022555485
59.24,421.01,14.070924681123964
67.46,432.15,15.610320490570404
90.23,499.24,18.073471676948962
20.59,383.36,5.370930717863105
35.58,402.09,8.848765201820488
18.33,385.92,4.7496890547263675
19.95,379.91,5.251243715616856
33.54,402.89,8.324852937526373
20.74,1025.01,2.023394893708354
20.07,387.78,5.175615039455362
39.02,405.37,9.625773984261293
19.65,381.33,5.153017071827551
