ffplay,ALL_TASKS,percentage
2159.95,712.96,302.95528500897666
1493.57,2295.61,65.06200966191992
672.66,2922.3,23.01817061903295
2601.34,4626.33,56.22901954681141
1193.82,5032.78,23.720885872221714
5946.78,8401.34,70.78370831319766
5.75,1037.46,0.5542382356910146
3.05,520.71,0.5857387029248525
3.29,531.28,0.619259147718717
799.01,5181.25,15.421182147165261
2244.26,7350.65,30.53144959969527
1210.63,5435.52,22.272570057694573
587.87,1155.78,50.86348613057849
656.67,1182.8,55.51826175177544
285.68,804.54,35.50848932309146
695.87,1170.55,59.44812267737388
301.37,2541.11,11.859777813632624
289.15,643.6,44.92697327532628
740.63,1242.51,59.60756855075613
237.36,668.05,35.53027468003893
447.93,875.42,51.167439628978094
370.64,810.83,45.71118483529223
323.63,733.42,44.12614872787762
412.45,878.73,46.93705688891923
456.09,818.53,55.72062111345949
225.55,655.68,34.399402147388976
641.32,1041.79,61.55943136332659
227.29,689.81,32.94965280294574
225.92,808.42,27.945869721184536
747.06,1401.89,53.28948776294858
214.87,671.27,32.00947457803864
705.94,1111.66,63.50322940467409
338.02,777.32,43.48530849585755
428.71,1228.33,34.90185862105461
2454.67,6230.97,39.39466888782967
278.16,2278.31,12.209049690340649
223.06,887.99,25.119652248336127
637.84,1728.08,36.91032822554512
230.72,1142.53,20.19378046965944
439.75,958.0,45.90292275574113
489.38,973.5,50.27015921931176
530.83,939.84,56.48089036431734
297.46,753.97,39.45249811000438
542.69,942.78,57.562739981756096
211.39,645.31,32.75789930421038
282.98,666.09,42.48374844240268
566.06,980.54,57.729414404307825
217.6,914.3,23.799628130810458
673.5,1070.48,62.91570136761079
248.44,830.96,29.897949359776643
450.44,878.41,51.279015493903756
425.87,875.67,48.63361768702822
622.45,1105.68,56.29567325085015
410.67,902.08,45.524787158566866
460.38,1000.05,46.03569821508925
224.44,1441.04,15.574862599233889
366.95,880.74,41.66382814451484
563.39,962.71,58.52125769961878
242.7,724.43,33.502201731016115
606.9,1022.6,59.34871895169176
225.75,678.97,33.24889170360988
382.56,808.29,47.32954756337453
489.84,950.36,51.542573340628806
358.38,806.84,44.41772842199197
237.97,723.2,32.905143805309734
721.74,1517.4,47.56425464610518
227.7,785.38,28.99233492067534
217.05,657.29,33.021953779914504
609.14,1020.76,59.67514401034523
222.92,645.1,34.55588280886684
479.03,891.56,53.72941809861367
2251.03,2960.22,76.04265899156145
293.68,798.22,36.79186189271128
363.74,908.3,40.04624022899923
525.88,1739.03,30.239846351126776
231.39,660.68,35.02300659926137
574.03,1358.7,42.24847280488702
525.92,1008.48,52.149769950817074
618.34,1205.23,51.304730217468865
485.59,976.22,49.74186146565323
485.24,1553.58,31.233666756781115
312.58,1654.26,18.895457787772173
725.71,1466.22,49.49530084161995
348.85,1659.59,21.020251989949326
291.2,1039.19,28.021824690383855
769.58,1713.55,44.91144116016457
245.15,894.33,27.4115818545727
654.75,1535.02,42.65416737241209
394.95,1232.9,32.03422824235542
649.11,1637.0,39.65241295051924
484.45,1354.92,35.7548785168128
410.44,1020.12,40.2344822177783
286.89,775.78,36.980845084946765
567.44,1738.45,32.64057062325635
430.33,2498.01,17.226912622447465
311.84,2336.83,13.344573631800344
695.14,1609.09,43.2008153676923
224.74,789.33,28.472248615914765
407.58,852.32,47.820067580251546
443.65,923.06,48.06296448768227
43.69,710.23,6.151528378131028
45.62,878.67,5.191937815106923
44.13,842.41,5.238541802685154
44.88,889.8,5.0438300741739726
50.04,871.65,5.74083634486319
52.61,766.16,6.866711913960531
2524.31,3372.82,74.8427132192053
1020.03,1594.86,63.95733794815847
1420.31,1974.18,71.94430092494099
998.86,1542.38,64.76095385054266
527.32,1051.11,50.1679177250716
325.22,778.7,41.764479260305635
252.49,756.53,33.37475050559793
600.12,1743.09,34.42851487874981
230.25,692.29,33.25918329023964
340.97,804.13,42.402347879074284
574.85,963.17,59.683129665583444
230.16,643.33,35.776351172804
674.15,1069.35,63.04297002852201
228.02,978.93,23.292778850377456
495.8,1154.91,42.92975210189539
528.66,995.8,53.08897368949588
516.47,1133.04,45.582680223116576
303.09,1383.97,21.900041185863852
441.52,1411.69,31.27598835438375
558.82,1083.85,51.55879503621351
238.52,688.69,34.63387010120664
803.5,1228.74,65.39219037387893
221.76,652.24,33.99975469152459
601.61,1008.25,59.668732953136626
460.44,924.55,49.801525066248445
494.51,994.78,49.71048875128169
287.34,1716.01,16.744657665165118
709.58,1128.22,62.89376185495736
238.63,723.53,32.98135529971114
339.04,764.08,44.37231703486546
658.09,1061.17,62.01551118105487
237.71,653.3,36.386040104086945
926.31,1557.17,59.486761239941686
235.18,716.53,32.82207304648794
568.96,1006.85,56.50891393951433
467.11,931.52,50.14492442459636
457.35,884.93,51.68205394776989
223.59,678.68,32.94483408970355
325.59,766.06,42.50189280213038
1560.6,1992.11,78.33904754255539
476.37,991.8,48.03085299455535
567.48,1031.78,55.00009691988602
397.66,837.83,47.46308917083418
295.06,737.21,40.0238737944412
595.28,1059.01,56.21098950906978
264.7,1466.47,18.050147633432665
373.34,773.79,48.24823272464105
517.24,938.49,55.114066212746
251.6,679.2,37.04358068315665
620.01,1079.13,57.454616218620544
236.85,621.71,38.09654018754725
397.51,1044.91,38.042510838254
538.66,1017.02,52.964543470138246
373.71,814.25,45.896223518575376
260.5,692.23,37.6320009245482
649.79,1081.55,60.07951551014747
248.62,960.54,25.883357278197682
307.87,758.92,40.56685816686871
574.02,1000.33,57.38306358901563
247.61,656.7,37.70519262981574
414.34,1499.62,27.629666182099466
531.87,1458.82,36.458918852223036
374.89,1036.62,36.16465049873628
355.29,857.66,41.42550661101136
515.37,905.6,56.90923144876325
244.9,1362.87,17.969432154204
312.8,714.5,43.77886634009797
566.94,972.29,58.30976354791267
251.45,659.38,38.13430798629015
668.3,1257.68,53.13752305832962
270.34,713.47,37.89087137511037
497.72,947.17,52.54811702228746
543.11,998.05,54.4171133710736
416.68,856.36,48.6571068242328
336.17,788.53,42.63249337374609
551.62,960.47,57.432298770393665
1117.42,1573.75,71.00365369340747
422.85,947.92,44.60819478436999
535.66,1072.36,49.95150882166437
429.02,812.36,52.81156137672952
404.99,843.34,48.022150022529466
539.97,1029.05,52.47266896652253
250.89,693.39,36.18310041967724
366.71,794.09,46.17990404110365
555.9,1655.87,33.57147602166837
264.44,668.87,39.5353357154604
672.47,1074.24,62.59960530235329
270.9,714.61,37.90878940960803
390.8,1100.12,35.52339744755118
500.58,932.54,53.67919874750681
424.58,841.4,50.46113620156881
282.64,721.72,39.162001884387294
616.63,1040.56,59.25943722610902
260.15,729.66,35.65359208398432
278.64,694.37,40.12846177110186
641.08,1047.28,61.213811015201294
274.49,694.35,39.53193634334269
537.67,1001.35,53.69451240824886
452.45,818.22,55.29686392412798
487.26,1209.11,40.2990629471264
638.24,1150.03,55.497682669147764
402.83,848.12,47.496816488232795
275.8,717.38,38.44545429200703
744.37,2231.72,33.35409459968097
284.4,1704.73,16.682993787872565
345.53,905.51,38.15860675199611
749.01,1407.49,53.216008639493
267.8,721.84,37.09963426798183
510.02,934.9,54.55342817413628
544.05,1003.81,54.19850370089957
425.17,842.9,50.44133349151738
337.42,793.13,42.54283660938308
530.22,973.06,54.48995950917725
1164.57,1595.32,72.99914750645638
447.21,970.72,46.06992747651228
577.26,1070.72,53.91325463239689
353.89,804.89,43.96749866441377
405.15,963.66,42.042836685137914
511.23,838.99,60.93398014279073
271.43,744.7,36.448234188263726
398.6,836.66,47.64181387899505
493.69,899.33,54.89531095370999
263.88,667.72,39.519559096627326
683.39,1942.33,35.18403154973665
265.47,724.14,36.66003811417682
429.78,1157.01,37.14574636347136
524.27,949.6,55.20956192080876
